Title;Link;Rating;Description;Price;Time
Tobo Meals;/lucknow/tobo-meals-charbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;;;₹250 for one;
Punjabi Zaika;/lucknow/punjabi-zaika-charbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;;;₹150 for one;
Barbeque Nation;/lucknow/barbeque-nation-gomti-nagar/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;;;₹700 for one;
Kanpur Baba Biryani;/lucknow/kanpur-baba-biryani-2-aminabad/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;;;₹150 for one;
Faheem Muradabadi Chicken Biryani Centre;/lucknow/faheem-muradabadi-chicken-biryani-centre-chowk/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;;;₹100 for one;
Purvanchal Handi Hut;/lucknow/purvanchal-handi-hut-lalbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;;;₹200 for one;
Truly Ghee - Authentic Ghee Cuisine;/lucknow/truly-ghee-authentic-ghee-cuisine-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;;;₹100 for one;
Homely Fare Hub;/lucknow/homely-fare-hub-chowk/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;;;₹100 for one;
Gyan Dhaba;/lucknow/gyan-dhaba-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;;;₹200 for one;
Raina's Kitchen;/lucknow/rainas-kitchen-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;;;₹200 for one;
